symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.12,1.1271,0.914,0.5,0.28,0.485,-16.79,-14.71,22.16,8,A,0,31.54803,295.51999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.1133,0.4873,0.286,0.5,0.5,0.485,-1.35,-1.17,6.4,0,D,0,56.92395,202.0099945,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0959,1.0626,0.85,0.5,0.32,0.485,-26.89,-24.56,22.35,7,B,0,22.25519,356.76999,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
UNP,Union Pacific Corporation,Industrials,Railroads,0.0899,0.9455,0.824,0.5,0.48,0.485,1.59,2.97,17.9,5,C,0,37.83159,238.78999,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
META,Meta Platforms Inc Class A,Communication Services,Internet Content & Information,0.0538,0.9989,0.842,0.5,0.32,0.485,-21.25,-19.17,34.79,8,A,0,22.54564,525.71997,27.83,16.52,0.39,2.6,82.0,41.44,30.08,34.68,46109000000.0,200966000000.0,60458000000.0,0.5,0.42,0.468
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0532,0.7778,0.662,0.5,0.32,0.485,-12.66,-12.95,25.96,5,C,0,25.13521,274.34,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.42,0.468
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0496,0.6019,0.584,0.5,0.65,0.445,7.99,9.53,14.63,3,C,0,44.54944,75.71,38.33,12.53,1.33,1.46,61.63,31.1,27.4,4.38,5296000000.0,47941000000.0,13137000000.0,0.5,0.395,0.447
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified,0.0479,0.6516,0.801,0.5,0.42,0.405,-6.55,-5.71,19.71,6,B,0,29.25035,468.48999,9.35,5.5,0.18,7.07,,32.96,16.38,5.1,25042000000.0,410522000000.0,67260000000.0,0.5,0.415,0.44
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,0.0465,0.4432,0.286,0.5,0.7,0.485,15.72,15.96,15.82,0,D,0,53.31403,240.45,32.87,13.46,0.59,1.03,67.88,27.17,28.46,5.13,19313000000.0,94193000000.0,26804000000.0,0.5,0.415,0.467
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0457,0.7398,0.631,0.5,0.32,0.485,-17.06,-14.14,28.95,4,C,0,29.90652,32.43,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.42,0.468
MDT,Medtronic plc,Healthcare,Medical Devices,0.0352,0.4805,0.585,0.5,0.28,0.485,-10.41,-9.28,20.69,3,C,0,33.63382,87.14,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.0344,0.6168,0.585,0.5,0.38,0.485,-9.82,-7.29,22.32,3,C,0,37.14801,169.17,27.65,7.21,1.4,1.1,42.27,23.06,15.69,,5001000000.0,26981000000.0,4234000000.0,0.5,0.355,0.447
