symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.1049,1.1799,0.914,0.5,0.38,0.485,-5.71,-11.35,24.14,8,A,0,34.85492,307.14001,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.1032,0.9146,0.662,0.5,0.5,0.485,-5.6,-4.08,23.01,5,C,0,41.14855,302.28,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.46,0.482
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.0869,0.7954,0.606,0.5,0.53,0.485,7.75,6.25,21.8,4,C,0,38.60893,150.64999,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0753,0.5669,0.584,0.5,0.65,0.445,10.16,11.89,16.82,3,C,0,47.50837,77.34,38.33,12.53,1.33,1.46,61.63,31.1,27.4,4.38,5296000000.0,47941000000.0,13137000000.0,0.5,0.355,0.433
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0688,1.0101,0.85,0.5,0.28,0.485,-17.35,-16.36,27.9,7,B,0,38.76932,395.54999,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.42,0.468
META,Meta Platforms Inc Class A,Communication Services,Internet Content & Information,0.0642,1.037,0.842,0.5,0.38,0.485,-5.6,-5.64,26.4,8,A,0,35.81855,613.71002,27.83,16.52,0.39,2.6,82.0,41.44,30.08,34.68,46109000000.0,200966000000.0,60458000000.0,0.5,0.42,0.468
UNP,Union Pacific Corporation,Industrials,Railroads,0.0617,0.9629,0.824,0.5,0.48,0.485,2.96,4.54,22.18,5,C,0,34.22576,242.44,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0567,0.5074,0.286,0.5,0.5,0.485,-2.1,-2.53,10.77,0,D,0,42.93633,199.24001,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,0.048,0.4649,0.286,0.5,0.7,0.485,16.94,16.48,15.59,0,D,0,53.59405,241.52,32.87,13.46,0.59,1.03,67.88,27.17,28.46,5.13,19313000000.0,94193000000.0,26804000000.0,0.5,0.415,0.467
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.0463,0.4896,0.286,0.5,0.6,0.485,4.71,5.08,19.18,0,D,0,44.43682,194.28,38.69,18.45,0.57,2.09,50.04,22.82,17.53,0.23,1757021000.0,10340181000.0,1812281000.0,0.5,0.46,0.482
CMCSA,Comcast Corp,Communication Services,Telecom Services,0.0411,0.7502,0.585,0.5,0.7,0.485,16.68,8.94,22.35,3,C,0,43.2161,30.16,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified,0.0359,0.6964,0.801,0.5,0.5,0.405,-0.08,-1.37,21.41,6,B,0,46.010288,490.029999,9.35,5.5,0.18,7.07,,32.96,16.38,5.1,25042000000.0,410522000000.0,67260000000.0,0.5,0.415,0.44
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.029,0.9845,0.83,0.5,0.5,0.485,-1.92,-4.55,41.49,8,A,0,45.22192,180.25,76.33,58.06,0.07,3.91,71.07,60.38,55.6,2.8,96676000000.0,215938000000.0,120067000000.0,0.5,0.36,0.448
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.0281,0.5782,0.585,0.5,0.38,0.485,-4.85,-5.66,29.37,3,C,0,36.34626,172.14999,27.65,7.21,1.4,1.1,42.27,23.06,15.69,,5001000000.0,26981000000.0,4234000000.0,0.5,0.315,0.433
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,0.0278,0.5402,0.631,0.5,0.42,0.445,-1.99,-2.46,22.69,3,C,0,28.687,319.78,55.86,9.92,2.81,0.87,48.85,16.11,10.9,,2654000000.0,23574300000.0,2568500000.0,0.5,0.355,0.433
CBOE,Cboe Global Markets Inc.,Financial Services,Financial Data & Stock Exchanges,0.0256,0.4717,0.286,0.5,0.7,0.485,16.4,16.84,26.62,0,D,0,52.9553,289.89999,21.41,11.82,0.31,1.87,40.9,32.12,23.33,1.51,1681600000.0,4714200000.0,1100000000.0,0.5,0.42,0.468
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.0255,0.5079,0.286,0.5,0.65,0.485,10.94,6.1,22.12,0,D,0,51.87893,328.97,13.31,3.9,0.22,0.38,,24.24,17.68,,12816000000.0,60071000000.0,10622000000.0,0.5,0.46,0.482
SCHW,Charles Schwab Corporation,Financial Services,Capital Markets,0.0242,0.6112,0.626,0.5,0.5,0.485,-2.87,-8.38,33.12,4,C,0,41.54775,93.059998,17.91,1.8,0.63,0.63,,49.68,37.01,2.29,8763000000.0,23921000000.0,8852000000.0,0.5,0.27,0.418
WRB,W.R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,0.0233,0.4896,0.286,0.5,0.6,0.485,1.73,-0.87,22.56,0,D,0,43.7834,68.76,18.38,4.05,0.29,0.4,,16.36,12.19,1.16,3412622000.0,14639850000.0,1784779000.0,0.5,0.46,0.482
USB,U.S. Bancorp,Financial Services,Banks - Regional,0.0233,0.5156,0.584,0.5,0.38,0.485,-4.78,-5.43,29.72,3,C,0,31.29195,51.0,11.57,1.1,1.04,,,39.33,26.62,,7970000000.0,28540000000.0,7596000000.0,0.5,0.27,0.418
