symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
UNP,Union Pacific Corporation,Industrials,Railroads,0.12,1.0166,0.824,0.5,0.65,0.485,8.03,9.57,21.92,5,C,0,46.7821,254.11,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.1112,0.8573,0.662,0.5,0.38,0.485,-6.6,-5.28,21.93,5,C,0,34.78971,298.51999,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.46,0.482
V,Visa Inc. Class A,Financial Services,Credit Services,0.1007,1.1583,0.914,0.5,0.5,0.485,-3.72,-8.4,25.75,8,A,0,44.14522,317.35999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.42,0.468
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0826,0.5584,0.584,0.5,0.65,0.445,8.8,11.46,17.91,3,C,0,46.18583,77.040001,38.33,12.53,1.33,1.46,61.63,31.1,27.4,4.38,5296000000.0,47941000000.0,13137000000.0,0.5,0.355,0.433
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.0567,0.8119,0.606,0.5,0.6,0.485,4.72,8.35,21.37,4,C,0,42.29125,153.63,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
CMCSA,Comcast Corp,Communication Services,Telecom Services,0.047,0.6961,0.585,0.5,0.58,0.485,24.13,15.26,23.21,3,C,0,61.57882,31.91,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0457,0.8108,0.631,0.5,0.5,0.485,-2.86,-0.08,33.72,4,C,0,46.62014,37.74,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.42,0.468
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,0.044,0.7674,0.665,0.5,0.28,0.485,-22.49,-21.56,32.91,3,C,0,33.68882,135.69,26.13,11.05,0.7,2.82,55.43,27.99,12.51,0.03,12820000000.0,44284000000.0,5541000000.0,0.5,0.42,0.468
MDT,Medtronic plc,Healthcare,Medical Devices,0.0424,0.4926,0.585,0.5,0.32,0.485,-10.86,-5.36,20.01,3,C,0,27.6136,90.9,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,0.0399,0.4729,0.286,0.5,0.58,0.485,15.59,17.58,20.27,0,D,0,61.23784,317.10001,14.17,2.05,0.12,1.03,86.09,64.86,62.45,1.28,4193600000.0,6520600000.0,4072200000.0,0.5,0.46,0.482
META,Meta Platforms Inc Class A,Communication Services,Internet Content & Information,0.0388,1.0262,0.842,0.5,0.6,0.485,0.82,-0.85,40.33,8,A,0,45.70464,644.85999,27.83,16.52,0.39,2.6,82.0,41.44,30.08,34.68,46109000000.0,200966000000.0,60458000000.0,0.5,0.36,0.448
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified,0.0366,0.6855,0.801,0.5,0.5,0.405,-0.92,0.43,22.23,6,B,0,53.21965,498.98001,9.35,5.5,0.18,7.07,,32.96,16.38,5.1,25042000000.0,410522000000.0,67260000000.0,0.5,0.415,0.44
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,0.0348,0.5291,0.605,0.5,0.7,0.405,28.36,23.29,28.71,4,C,0,58.86805,151.21001,11.16,6.63,0.16,1.15,21.99,10.48,9.19,8.76,23612000000.0,323905000000.0,29764000000.0,0.5,0.42,0.442
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.0325,0.5,0.286,0.5,0.65,0.485,11.17,5.79,21.32,0,D,0,50.020715,328.0,13.31,3.9,0.22,0.38,,24.24,17.68,,12816000000.0,60071000000.0,10622000000.0,0.5,0.46,0.482
SCHW,Charles Schwab Corporation,Financial Services,Capital Markets,0.0308,0.6376,0.626,0.5,0.6,0.485,1.32,-6.24,32.4,4,C,0,44.2812,95.23,17.91,1.8,0.63,0.63,,49.68,37.01,2.29,8763000000.0,23921000000.0,8852000000.0,0.5,0.27,0.418
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,0.0302,0.4807,0.286,0.5,0.6,0.485,1.57,2.42,23.82,0,D,0,51.31289,165.39,15.04,5.84,0.06,0.64,,27.6,18.95,0.16,3092000000.0,12631000000.0,2393000000.0,0.5,0.46,0.482
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.0275,0.6759,0.629,0.5,0.53,0.485,12.04,6.04,25.42,3,C,0,35.38936,169.98,-1.41,17.13,,0.96,67.12,36.74,29.15,,10664000000.0,40648000000.0,11848000000.0,0.5,0.315,0.433
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,0.027,0.5182,0.618,0.5,0.58,0.445,24.9,16.67,32.13,3,C,0,37.71471,46.9,12.65,6.29,0.43,1.33,18.22,15.29,9.66,,4543000000.0,35708000000.0,3451000000.0,0.5,0.315,0.42
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0258,0.5,0.286,0.5,0.65,0.485,8.07,6.04,19.41,0,D,0,42.52497,372.14001,17.5,12.39,0.22,4.79,51.73,25.75,20.21,0.4,1005700000.0,5156100000.0,1042300000.0,0.5,0.46,0.482
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Diversified,0.0258,0.4807,0.286,0.5,0.6,0.485,4.67,1.56,17.49,0,D,0,48.75408,139.25,20.21,4.46,0.23,1.84,,20.02,13.67,0.6,5753000000.0,28071000000.0,3836000000.0,0.5,0.46,0.482
